date,open,high,low,close,volume,first_seen
2026-08-17,1823.3900,1829.1771,1767.5100,1787.5700,534326,2026-08-30T16:03:09+00:00
2026-08-18,1782.0600,1813.9900,1759.2100,1779.1400,340876,2026-08-30T16:03:09+00:00
2026-08-19,1780.5000,1918.1700,1771.0000,1908.6500,709194,2026-08-30T16:03:09+00:00
2026-08-20,1897.7600,1929.6400,1885.3300,1921.9600,399744,2026-08-30T16:03:09+00:00
2026-08-21,1928.3900,1962.5650,1911.0100,1922.7300,423830,2026-08-30T16:03:09+00:00
2026-08-24,1926.7500,1990.9900,1918.0000,1947.9000,460064,2026-08-30T16:03:09+00:00
2026-08-25,1937.8250,2011.2000,1929.0000,1997.0000,432228,2026-08-30T16:03:09+00:00
2026-08-26,1995.3900,2008.3800,1948.4000,1950.4400,326724,2026-08-30T16:03:09+00:00
2026-08-27,1947.2600,1961.9900,1906.0701,1930.7500,370304,2026-08-30T16:03:09+00:00
2026-08-28,1941.9900,1972.5900,1939.9500,1966.2500,338672,2026-08-30T16:03:09+00:00
