date,open,high,low,close,volume,first_seen
2026-08-17,85.3600,85.6100,84.5900,84.6800,10513381,2026-08-30T16:01:44+00:00
2026-08-18,85.7600,86.1900,85.1300,85.5800,10663176,2026-08-30T16:01:44+00:00
2026-08-19,85.7200,87.1900,85.7200,86.5400,11244297,2026-08-30T16:01:44+00:00
2026-08-20,85.2000,86.0000,85.0000,85.3200,11495323,2026-08-30T16:01:44+00:00
2026-08-21,85.6000,86.0100,85.2800,85.9900,11194148,2026-08-30T16:01:44+00:00
2026-08-24,86.4500,87.4650,86.4500,87.4500,9108098,2026-08-30T16:01:44+00:00
2026-08-25,86.8600,87.0100,86.2450,86.5200,7022996,2026-08-30T16:01:44+00:00
2026-08-26,86.6200,86.6850,86.2500,86.2700,7317379,2026-08-30T16:01:44+00:00
2026-08-27,85.3100,85.8550,85.0650,85.0800,8495980,2026-08-30T16:01:44+00:00
2026-08-28,85.5000,85.6050,85.2100,85.4500,6809306,2026-08-30T16:01:44+00:00
