date,open,high,low,close,volume,first_seen
2026-08-17,57.9600,58.2650,57.5500,57.5800,45636699,2026-08-30T16:01:44+00:00
2026-08-18,57.7300,57.9796,57.5650,57.8400,25389365,2026-08-30T16:01:44+00:00
2026-08-19,57.8800,58.2000,57.4200,57.4800,35648257,2026-08-30T16:01:44+00:00
2026-08-20,57.4700,57.6550,56.9100,56.9500,30704196,2026-08-30T16:01:44+00:00
2026-08-21,57.3200,57.6950,57.2450,57.4800,27277760,2026-08-30T16:01:44+00:00
2026-08-24,57.7000,58.3759,57.6400,58.2200,31462888,2026-08-30T16:01:44+00:00
2026-08-25,58.1900,58.3600,57.8700,58.3100,23685140,2026-08-30T16:01:44+00:00
2026-08-26,58.2500,58.3800,58.0200,58.2600,20054032,2026-08-30T16:01:44+00:00
2026-08-27,57.9100,58.2300,57.7300,57.8800,26088711,2026-08-30T16:01:44+00:00
2026-08-28,57.9800,58.4100,57.9200,58.1000,25142604,2026-08-30T16:01:44+00:00
