timestamp,open,high,low,close,volume
2026-05-04,0.99990000,1.00000000,0.99850000,0.99850000,2411298.44546000
2026-05-03,1.00000000,1.00240000,0.99890000,0.99990000,4827076.32087000
2026-05-02,1.00000000,1.00000000,0.99950000,0.99970000,1450289.77039000
2026-05-01,0.99990000,1.00090000,0.99980000,1.00000000,2349446.48308000
2026-04-30,0.99990000,1.00000000,0.99970000,0.99990000,1816582.28014000
2026-04-29,1.00060000,1.00080000,0.99960000,0.99990000,1878047.08305000
2026-04-28,0.99990000,1.00680000,0.99980000,1.00060000,90920.04476000
2026-04-27,0.99980000,1.00500000,0.99970000,0.99990000,105212.88335000
2026-04-26,0.99990000,1.00010000,0.99980000,0.99990000,25790.49261000
2026-04-25,0.99990000,1.00500000,0.99980000,0.99980000,101953.42369000
2026-04-24,0.99980000,1.01380000,0.99980000,1.00010000,97264.58977000
2026-04-23,0.99990000,1.00990000,0.99980000,0.99980000,100262.67116000
2026-04-22,0.99990000,1.00490000,0.99970000,0.99990000,348716.18468000
2026-04-21,0.99990000,1.00420000,0.99850000,1.00000000,308795.35725000
2026-04-20,0.99990000,1.00950000,0.99980000,1.00000000,114884.40765000
2026-04-19,1.00010000,1.00240000,0.99980000,0.99990000,27153.63656000
2026-04-18,0.99980000,1.00980000,0.99980000,1.00000000,48093.59484000
2026-04-17,1.00000000,1.00010000,0.99980000,0.99990000,4243125.62014000
2026-04-16,1.00000000,1.00000000,0.99980000,0.99980000,4815857.64119000
2026-04-15,0.99990000,1.00000000,0.99980000,1.00000000,504470.96478000
2026-04-14,1.00000000,1.00000000,0.99970000,0.99990000,592433.29490000
2026-04-13,0.99990000,1.00000000,0.99980000,1.00000000,770910.38811000
2026-04-12,0.99990000,1.00000000,0.99980000,0.99990000,2082043.33519000
2026-04-11,0.99990000,1.00980000,0.99980000,0.99990000,5460657.42454000
2026-04-10,0.99990000,1.00000000,0.99960000,0.99990000,470112.02205000
2026-04-09,0.99990000,1.00000000,0.99980000,0.99990000,126031.76149000
2026-04-08,0.99990000,1.00970000,0.99990000,0.99990000,3864489.50710000
2026-04-07,1.00000000,1.00220000,0.99990000,0.99990000,8590974.37038000
2026-04-06,1.00000000,1.00970000,0.99990000,1.00000000,4885028.05342000
2026-04-05,1.00000000,1.00240000,0.99990000,1.00000000,5344265.55239000
2026-04-04,0.99990000,1.00710000,0.99980000,1.00000000,7789473.45874000
2026-04-03,0.99990000,1.00010000,0.99960000,0.99990000,6724885.73193000
2026-04-02,0.99980000,1.00200000,0.99980000,0.99990000,4481980.77869000
2026-04-01,1.00000000,1.00010000,0.99910000,0.99980000,546605.37928000
2026-03-31,0.99980000,1.00000000,0.99980000,0.99990000,147572.36285000
2026-03-30,1.00000000,1.00000000,0.99980000,0.99980000,221013.77369000
2026-03-29,1.00000000,1.00000000,0.99990000,1.00000000,95463.57720000
2026-03-28,1.00000000,1.00000000,0.99990000,0.99990000,60262.37873000
2026-03-27,0.99990000,1.00000000,0.99980000,0.99990000,138502.53370000
2026-03-26,0.99990000,1.00000000,0.99980000,0.99980000,69721.98491000
2026-03-25,1.00000000,1.00000000,0.99980000,0.99990000,113158.48726000
2026-03-24,1.00000000,1.00000000,0.99980000,1.00000000,114437.60766000
2026-03-23,1.00000000,1.00980000,0.99990000,1.00000000,294909.72072000
2026-03-22,1.00000000,1.00000000,0.99990000,1.00000000,74146.91163000
2026-03-21,1.00000000,1.00000000,0.99990000,1.00000000,45367.23577000
2026-03-20,0.99980000,1.00000000,0.99980000,1.00000000,112526.29256000
2026-03-19,0.99990000,1.00000000,0.99620000,0.99990000,1524335.42000000
2026-03-18,1.00010000,1.00090000,0.99990000,0.99990000,61221.65445000
2026-03-17,0.99990000,1.00010000,0.99990000,1.00000000,78401.54496000
2026-03-16,1.00000000,1.00000000,0.99990000,1.00000000,185912.14326000
2026-03-15,1.00000000,1.00090000,0.99990000,0.99990000,83963.81511000
2026-03-14,1.00000000,1.00010000,0.99990000,1.00000000,40226.52774000
2026-03-13,1.00000000,1.00100000,0.99990000,1.00000000,106709.10440000
2026-03-12,1.00000000,1.00000000,0.99990000,0.99990000,71611.43458000
2026-03-11,0.99990000,1.00420000,0.99990000,0.99990000,168069.96632000
2026-03-10,1.00000000,1.00010000,0.99990000,1.00000000,129341.68530000
2026-03-09,0.99990000,1.00000000,0.99990000,1.00000000,101564.63309000
2026-03-08,1.00010000,1.00160000,0.99990000,0.99990000,154617.04395000
2026-03-07,0.99990000,1.00010000,0.99990000,1.00010000,125091.19033000
2026-03-06,0.99990000,1.00000000,0.99990000,0.99990000,179714.38347000
2026-03-05,0.99990000,1.00000000,0.99990000,1.00000000,89979.21011000
